"Number","Museum","Genus","Species","Ssp","Sex","Prep","Country","Locality1","Isl_Main","GSL_24","ROST.LEN_26","LACR.W_30","POSTORB.W_32","MASTOID_34","C1.C1_37","M3.M3_38","GLENO.L_44","MAX.TOOTH_h","DEN.L_46","LOW.TR_49","MOM1.COR_52","MOM2.ANG_53","DEN.TH_57","CON.L_60","MASS.MUSC_c","Country1","lat","lon","bio4","bio5","bio6","bio15","bio16","bio17","bioalt"
166058,"AMNH","Lasiurus","cinereus","cinereus",NA,"Recent","Mexico","Tamaulipas","Main",15.91,6.16,7.49,5.15,9.98,4.33,4.87,1.86,5.15,13.27,6.27,3.65,2.66,1.73,1.75,4.07,"Mexico",24.266949,-98.836301,506.509882440694,36.4000015258789,8.80000019073486,65.9306501943894,271,60,227
38610,"USNM","Lasiurus","cinereus","cinereus","F","Recent","Mexico","Tamaulipas","Main",16.03,6.12,8.27,4.75,9.73,4.25,4.62,1.9,5.23,12.99,6.58,3.81,2.81,2.08,1.71,4.36,"Mexico",25.83997981,-97.56404212,504.401089336343,34.4000015258789,10.8000001907349,58.6147499462781,298,82,12
82921,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Veracruz","Main",16.86,6.61,8.21,5.32,10.16,4.42,5.05,1.75,5.11,12.99,6.22,3.81,2.82,1.74,1.79,4.51,"Mexico",20.4316667,-98.3791667,192.52902079977,24.2000007629395,5.69999980926514,80.0620328222448,640,88,2029
13128,"UF","Lasiurus","cinereus","cinereus","M","Recent","USA","Florida","Main",16.79,6.74,8.23,5.13,10.23,4.29,5.2,1.91,5.34,12.92,6.62,3.97,2.85,2.1,2.1,4.4,"USA",28.62444,-81.54361,483.452696465651,33.0999984741211,9,50.0331395782968,532,171,39
31008,"UF","Lasiurus","cinereus","cinereus","M","Recent","USA","Florida","Main",16.71,6.75,8.38,5.19,9.92,4.11,4.93,1.85,5.34,12.52,6.45,3.6,2.84,1.99,2.08,4.1,"USA",30.27420366,-85.9019606,626.211560989971,33.9000015258789,5,29.2676952763332,567,297,15
276572,"USNM","Lasiurus","cinereus","cinereus","F","Recent","USA","Georgia","Main",16.92,6.36,8.98,5.36,10.38,4.46,5.46,2.01,4.91,13.94,7.35,3.76,2.9,1.82,1.7,4.77,"USA",30.70361884,-84.19106303,629.693741873956,33.9000015258789,3.59999990463257,25.1606510248779,470,256,83
15345,"USNM","Lasiurus","cinereus","cinereus",NA,"Recent","USA","Georgia","Main",16.53,6.17,8.49,5.4,10.53,4.13,5.23,2.02,5.05,12.58,6.22,3.95,2.86,2.01,1.79,4.28,"USA",32.07293897,-81.03138475,649.087939216133,33.7000007629395,4.5,35.686251172227,474,215,2
78358,"ROM","Lasiurus","cinereus","cinereus","F","Recent","USA","Indiana","Main",17.01,6.57,9.36,5.04,10.08,4.59,5.13,1.93,5.18,12.57,7.2,3.84,2.99,2.09,1.61,4.07,"USA",41.05,-86.616667,1010.70856607955,28,-11.6000003814697,25.3799877963242,303,156,220
78359,"ROM","Lasiurus","cinereus","cinereus","F","Recent","USA","Indiana","Main",17.46,6.53,8.99,5.03,10.41,4.43,5.07,1.96,5.25,13.13,7.14,3.96,3.12,1.73,1.92,4.18,"USA",40.3,-86.916667,1003.28427457077,28.6000003814697,-10.6999998092651,24.8145077064713,302,167,215
78360,"ROM","Lasiurus","cinereus","cinereus","M","Recent","USA","Indiana","Main",17.22,6.99,9.04,5.49,10.54,4.5,5.23,1.99,5.14,12.58,7.05,4.11,2.96,2.06,1.95,4.05,"USA",40.4166667,-86.9,1008.17144110855,28.7000007629395,-10.3999996185303,25.8948517301587,296,159,165
617,"MNCN","Lasiurus","cinereus","cinereus","F","Recent","USA","Kansas","Main",16.76,6.62,9.09,5.1,10.06,4.13,4.97,1.9,5.09,12.71,7.17,3.47,3.08,1.78,1.86,3.98,"USA",38.97160622,-95.20112106,1015.6826075888,32.0999984741211,-8.19999980926514,44.3367375231884,373,103,253
11185,"UF","Lasiurus","cinereus","cinereus",NA,"Recent","USA","Kentucky","Main",17.2,6.32,8.27,5.24,9.92,4.51,4.84,1.82,5.01,12.59,6.35,3.64,2.81,1.9,2.04,4.05,"USA",36.60833,-83.71667,826.785473964068,30.8999996185303,-5.59999990463257,12.4104700289353,357,275,350
176197,"AMNH","Lasiurus","cinereus","cinereus","F","Recent","USA","Maine","Main",16.99,7.29,9.1,5.51,10.69,4.47,5.66,1.85,5.15,12.73,6.8,3.97,3.17,2.15,1.82,4.1,"USA",45.937001,-70.215303,1094.93463985752,21.2000007629395,-18.7000007629395,22.3352201330969,338,188,484
347569,"USNM","Lasiurus","cinereus","cinereus","F","Recent","USA","Maryland","Main",16.55,6.55,8.66,5.29,10.08,4.77,5.39,1.94,5.09,12.93,6.42,3.67,2.79,2.05,1.72,4.23,"USA",38.85822381,-76.93482616,870.659256305496,30.2000007629395,-5,11.5731665294797,304,237,87
398462,"USNM","Lasiurus","cinereus","cinereus","F","Recent","USA","Maryland","Main",17.67,6.63,9.43,5.48,10.58,4.71,6.04,2.06,5.01,13.94,7.14,3.75,3.19,1.82,2.04,4.35,"USA",39.17939592,-77.2588621,883.30945813749,30,-6.09999990463257,12.2872527478319,296,220,149
137322,"AMNH","Lasiurus","cinereus","cinereus",NA,"Recent","USA","New York","Main",16.88,6.78,8.99,5.41,10.17,4.27,4.99,1.8,5.14,11.68,6.55,3.8,3.02,2.03,1.67,4.05,"USA",41.312753,-74.00675,921.629806726059,26.3999996185303,-9.60000038146973,9.7385650860063,355,289,357
618,"MNCN","Lasiurus","cinereus","cinereus","F","Recent","USA","New York","Main",16.75,6.54,9.08,5.43,10.4,4.49,5.3,1.79,5.13,12.9,6.69,3.9,3.04,2.3,1.92,4.11,"USA",41.67268705,-73.93154225,951.220408229671,28.2999992370605,-10.3000001907349,13.4737878657299,322,231,57
619,"MNCN","Lasiurus","cinereus","cinereus","F","Recent","USA","New York","Main",16.77,6.32,9.14,5.34,10.07,4.78,5.15,2.22,5.05,13.31,7.09,3.95,2.94,2.01,1.73,4.34,"USA",41.67268705,-73.93154225,951.220408229671,28.2999992370605,-10.3000001907349,13.4737878657299,322,231,57
258284,"AMNH","Lasiurus","cinereus","cinereus","F","Recent","USA","Pennsylvania","Main",16.51,6.95,8.79,5.25,10.29,4.52,5.28,2.1,5.25,12.8,6.8,4.29,3.22,1.97,1.93,4.28,"USA",41.881002,-78.179243,917.171625865841,23.1000003814697,-13.1999998092651,20.6185478200491,328,201,732
258285,"AMNH","Lasiurus","cinereus","cinereus","M","Recent","USA","Pennsylvania","Main",16.26,6.49,8.49,5.65,10.01,4.62,5.11,2.01,5.09,12.36,6.69,3.76,3.06,2,1.79,4.03,"USA",41.881002,-78.179243,917.171625865841,23.1000003814697,-13.1999998092651,20.6185478200491,328,201,732
218756,"USNM","Lasiurus","cinereus","cinereus",NA,"Recent","USA","Virginia","Main",16.37,6.43,8.07,5.24,9.92,4.24,5.3,1.76,4.92,12.93,6.88,3.44,2.94,1.33,1.78,4.1,"USA",38.88697127,-77.10764167,874.594712548763,30.3999996185303,-5,11.0725758902408,293,230,86
448255,"USNM","Lasiurus","cinereus","cinereus","F","Recent","USA","Virginia","Main",16.84,6.52,8.35,5.28,10.56,4.63,5.59,1.97,4.89,13.01,6.26,3.98,2.89,1.96,1.78,4.19,"USA",36.62017972,-76.52394198,782.453385167878,32.0999984741211,-1.29999995231628,17.3389458588516,382,264,20
123816,"USNM","Lasiurus","cinereus","cinereus","M","Recent","USA","Washington DC","Main",16.12,6.18,8.68,5.09,9.93,4.27,5.07,1.8,4.57,12.79,6.57,3.64,2.55,1.7,1.68,4.11,"USA",38.93031819,-77.11535585,879.891520171638,30.7000007629395,-5,11.5057647434128,290,226,24
200373,"USNM","Lasiurus","cinereus","cinereus","F","Recent","USA","Washington DC","Main",16.84,6.8,8.44,5.48,10.51,4.51,5.41,1.92,5.04,12.97,6.44,3.9,2.93,1.8,1.87,4.15,"USA",38.93031819,-77.11535585,879.891520171638,30.7000007629395,-5,11.5057647434128,290,226,24
2441481,"ROM","Lasiurus","cinereus","cinereus","F","Recent","Canada","Alberta","Main",17.04,6.56,8.76,5.13,10.18,4.19,4.92,1.87,5.04,13.16,7.33,4.09,3.38,2.2,1.81,4.32,"Canada",51.05,-114.0833333,959.688529997046,23.5,-15.6999998092651,75.6892312648752,214,32,1047
29536,"ROM","Lasiurus","cinereus","cinereus","F","Recent","Canada","British Columbia","Main",16.84,6.83,9.21,5.22,10.53,4.44,5.04,1.86,5.33,13.41,7.46,3.84,3.18,1.96,1.91,4.27,"Canada",50.28333333,-119.3166667,864.098316600144,22.5,-11.1000003814697,20.3276093477078,152,91,706
29537,"ROM","Lasiurus","cinereus","cinereus","M","Recent","Canada","British Columbia","Main",16.75,6.81,9.02,5.28,10.35,4.44,5.22,1.95,5.34,13.44,7.32,3.9,3.09,2.2,1.83,4.48,"Canada",50.28333333,-119.3166667,864.098316600144,22.5,-11.1000003814697,20.3276093477078,152,91,706
18458,"ROM","Lasiurus","cinereus","cinereus","M","Recent","Canada","Ontario","Main",16.82,6.34,8.71,5.21,10.33,4.44,5.28,1.88,4.57,12.9,6.89,3.82,2.85,2.02,1.69,4.01,"Canada",48.77121,-87.92098,1104.45680175185,19.3999996185303,-20.6000003814697,29.8364606625654,273,122,283
25996,"ROM","Lasiurus","cinereus","cinereus",NA,"Recent","Canada","Ontario","Main",17.46,6.44,8.9,5.1,10.65,4.23,5.38,1.79,4.96,13.13,7.21,3.83,3.11,2.18,1.93,4.4,"Canada",43.6666667,-79.3833333,961.698601152147,24.8999996185303,-10.1000003814697,16.2320818573654,238,156,119
32149,"ROM","Lasiurus","cinereus","cinereus","M","Recent","Canada","Ontario","Main",17.2,6.5,8.91,5.17,10.49,4.18,5.32,2.16,5.29,13.46,7.06,3.98,3.11,2.3,1.85,4.31,"Canada",43.6666667,-79.3833333,961.698601152147,24.8999996185303,-10.1000003814697,16.2320818573654,238,156,119
32291,"ROM","Lasiurus","cinereus","cinereus","F","Recent","Canada","Ontario","Main",17.14,6.83,9.14,5.31,10.33,4.58,5.02,1.96,5.15,12.97,7.07,3.73,2.99,2.07,1.92,4.23,"Canada",48.42974,-89.25924,1175.39250871346,22.5,-21,36.4832245862463,257,100,213
33620975,"ROM","Lasiurus","cinereus","cinereus",NA,"Recent","Canada","Ontario","Main",15.81,5.89,8.28,5.03,9.82,4.18,5.09,1.74,4.68,12.21,6.65,3.76,3.04,2.07,1.79,4.03,"Canada",44.67398,-79.37077,1058.40537839647,23,-14.1999998092651,15.7857951668548,304,201,216
36122,"ROM","Lasiurus","cinereus","cinereus","F","Recent","Canada","Ontario","Main",17.23,6.64,9.33,5.04,10.49,4.5,5.39,2.13,5.42,13.71,7.31,4.09,3.29,2.07,1.87,4.32,"Canada",43.7,-79.4333333,993.766552713198,25,-11.3999996185303,16.8320908621992,245,158,181
22967,"ROM","Lasiurus","cinereus","cinereus","F","Recent","Canada","Saskatchwan","Main",18.88,6.21,8.89,4.74,10.3,4.16,4.91,1.84,5.16,13.17,6.93,3.72,3.09,2.2,1.87,4.11,"Canada",53.5666667,-105.8833333,1314.95096281366,21.3999996185303,-24.7000007629395,60.0132891934903,211,49,513
208651,"AMNH","Lasiurus","cinereus","semotus","F","Recent","USA","Hawaii","Island",14.95,5.69,7.36,4.71,8.96,4,4.34,1.66,4.59,11.76,6.28,3.51,2.48,1.87,1.71,3.68,"USA",20.115735,-155.574148,127.215940311881,27.3999996185303,16,56.3284888304019,677,267,322
276739,"AMNH","Lasiurus","cinereus","semotus",NA,"Recent","USA","Hawaii","Island",15.6,6.17,8,5.19,9.45,3.92,4.88,1.79,4.78,12.19,6.57,3.96,2.61,1.67,1.87,3.95,"USA",20.02559,-155.65886,126.724475551225,25,12.6000003814697,49.0846303316258,639,241,843
112947,"MVZ","Lasiurus","cinereus","semotus","M","Recent","USA","Hawaii","Island",15.48,6.08,7.77,5.03,9.44,4.12,4.79,1.89,4.83,12.33,6.76,3.85,2.61,1.54,1.69,4.02,"USA",20.09997956,-155.6032654,127.034958259885,27.6000003814697,16.1000003814697,29.735468177765,621,404,25
113294,"MVZ","Lasiurus","cinereus","semotus","F","Recent","USA","Hawaii","Island",15.7,6.11,7.83,4.92,9.42,3.77,4.79,1.77,4.72,12.39,6.86,3.67,2.56,1.52,1.59,3.96,"USA",19.42191492,-155.9054318,112.952785424739,29.2999992370605,18.6000003814697,34.4044728258598,374,223,49
113386,"MVZ","Lasiurus","cinereus","semotus","F","Recent","USA","Hawaii","Island",15.86,6.16,7.87,4.83,9.57,3.8,4.57,1.8,4.8,12.42,6.99,3.64,2.94,1.69,1.73,3.68,"USA",20.10797416,-155.598459,125.743261923771,28.6000003814697,17,43.7993808328976,730,251,27
113387,"MVZ","Lasiurus","cinereus","semotus","F","Recent","USA","Hawaii","Island",15.57,5.78,7.39,5.12,9.21,3.65,4.99,1.78,4.78,12.49,6.61,3.86,2.78,1.7,1.82,4.07,"USA",20.10797416,-155.598459,125.743261923771,28.6000003814697,17,43.7993808328976,730,251,27
114344,"MVZ","Lasiurus","cinereus","semotus","M","Recent","USA","Hawaii","Island",15.07,5.52,7.05,5.07,9.11,3.65,4.41,1.59,4.38,11.54,6.17,3.71,2.41,1.39,1.36,3.83,"USA",19.79369562,-155.8347201,124.890117943044,26.1000003814697,13.8000001907349,44.8733790701465,608,300,706
114345,"MVZ","Lasiurus","cinereus","semotus","F","Recent","USA","Hawaii","Island",15.65,6.11,7.57,4.91,9.48,3.6,4.67,1.83,4.66,12.46,6.66,3.79,2.64,1.57,1.6,4.03,"USA",19.79369562,-155.8347201,124.890117943044,26.1000003814697,13.8000001907349,44.8733790701465,608,300,706
184549,"MVZ","Lasiurus","cinereus","semotus","M","Recent","USA","Hawaii","Island",15.23,5.76,7.39,4.93,9.36,3.59,4.47,1.67,4.21,11.66,6.15,3.52,2.67,1.64,1.53,4.05,"USA",20.11355539,-155.591387,126.708785880694,27.5,16.1000003814697,50.1227813480072,661,234,396
91239,"ROM","Lasiurus","cinereus","semotus","F","Recent","USA","Hawaii","Island",15.93,6.13,7.73,5.01,9.47,3.82,4.6,1.74,4.9,12.26,6.62,3.93,2.55,1.66,1.7,3.81,"USA",20.10972486,-155.6077248,125.776343334849,28.7999992370605,17.2000007629395,39.1123281843411,761,380,10
38983,"USNM","Lasiurus","cinereus","semotus","F","Recent","USA","Hawaii","Island",15.41,6.4,7.51,4.75,8.43,3.45,4.46,1.81,4.62,12.45,6.39,3.71,2.9,1.55,1.75,4.22,"USA",19.6250643,-155.4921382,127.739681447237,17.7000007629395,5.19999980926514,40.0283684190742,299,133,2214
505291,"USNM","Lasiurus","cinereus","semotus","F","Recent","USA","Hawaii","Island",15.15,6.25,7.34,5.03,9.26,4.12,4.6,1.89,4.38,12.3,5.96,3.78,2.84,1.58,1.64,3.95,"USA",19.34574145,-155.0220287,107.075468929867,28.5,17.7999992370605,38.4728311896875,1167,588,65
505292,"USNM","Lasiurus","cinereus","semotus","F","Recent","USA","Hawaii","Island",15.35,5.67,7.33,5.02,9.28,4.07,4.44,1.81,4.19,11.96,5.89,3.64,2.6,1.58,1.73,3.95,"USA",19.57799507,-155.4673597,129.31345643801,16,3.09999990463257,42.3336746836542,273,114,2642
16139,"USNM","Lasiurus","cinereus","semotus",NA,"Recent","USA","Hawaii","Island",15.75,6.64,7.87,5.06,9.68,4.08,4.99,1.74,4.96,12.88,6.63,3.87,2.93,1.94,1.83,4.04,"USA",22.0835957,-159.5243593,183.451759973955,22,8.80000019073486,29.3691308205471,788,437,1349
15630,"USNM","Lasiurus","cinereus","semotus",NA,"Recent","USA","Hawaii","Island",15.3,5.7,7.77,5.23,9.02,3.94,4.94,1.89,4.7,12.11,6.42,3.53,2.56,1.49,1.59,4.03,"USA",22.0835957,-159.5243593,183.451759973955,22,8.80000019073486,29.3691308205471,788,437,1349
16138,"USNM","Lasiurus","cinereus","semotus",NA,"Recent","USA","Hawaii","Island",15.98,6.39,7.65,5.01,9.47,3.86,4.63,1.86,4.62,12.14,6.15,3.87,2.7,2,1.71,4.05,"USA",22.0835957,-159.5243593,183.451759973955,22,8.80000019073486,29.3691308205471,788,437,1349
8545,"USNM","Lasiurus","cinereus","semotus",NA,"Recent","USA","Hawaii","Island",15.72,5.71,7.35,4.94,9.49,3.88,4.63,1.73,4.59,12.36,6.09,3.71,2.77,1.96,1.72,3.89,"USA",21.96488662,-159.658182,161.162324771303,28.7999992370605,18.2000007629395,41.2504822481119,285,127,58
178141,"USNM","Lasiurus","cinereus","cinereus","M","Recent","USA","Alabama","Main",16.44,5.81,8.92,5.45,10.14,4.75,5.58,2.22,4.62,12.72,6.85,3.03,2.86,1.64,1.7,4.08,"USA",32.42969734,-86.64425013,716.69525163746,34.2999992370605,1.29999995231628,21.3666842173047,426,267,48
140700,"FMNH","Lasiurus","cinereus","cinereus",NA,"Recent","USA","Arizona","Main",16.07,6.21,8.25,5.11,9.92,4.17,5.05,1.84,4.89,12.56,6.46,3.77,2.88,1.9,1.66,4.11,"USA",34.3102,-112.568,710.497451869556,35,-4.19999980926514,48.2292654655473,162,35,1171
172513,"FMNH","Lasiurus","cinereus","cinereus","F","Recent","USA","Arizona","Main",15.7,6.04,7.91,5.06,9.97,4.11,4.97,1.9,4.88,12.06,6.32,3.64,2.91,2.01,1.65,4.18,"USA",31.883903,-109.2060203,670.283033650144,30.2999992370605,-5.69999980926514,72.3831844621927,246,36,1671
172514,"FMNH","Lasiurus","cinereus","cinereus","M","Recent","USA","Arizona","Main",16.68,6.39,9.02,5.31,9.98,4.35,5.15,1.76,5.07,12.41,6.54,3.78,2.71,2.05,1.72,4.3,"USA",31.883903,-109.2060203,670.283033650144,30.2999992370605,-5.69999980926514,72.3831844621927,246,36,1671
195676,"FMNH","Lasiurus","cinereus","cinereus","M","Recent","USA","Arizona","Main",16.75,6.86,8.62,5.64,10.13,4.41,5.28,1.99,5.12,13.33,6.5,4.16,3.22,1.76,1.79,4.18,"USA",31.88435417,-109.181275,668.302925252362,30,-5.19999980926514,72.1123701370355,249,36,1754
58732,"ROM","Lasiurus","cinereus","cinereus","M","Recent","USA","Arizona","Main",16.57,6.53,8.57,5.21,10.29,4.39,4.97,1.8,4.84,13.13,7.01,3.82,2.95,2.01,1.58,4.29,"USA",31.91666667,-109.15,701.111120207294,33,-4.30000019073486,72.330765681161,209,29,1462
78617,"ROM","Lasiurus","cinereus","cinereus","M","Recent","USA","Arizona","Main",16.29,6.24,8.78,5.45,10.09,4.25,5.21,2,4.96,12.5,6.85,3.65,2.89,1.88,1.71,4.05,"USA",31.9,-109.15,689.539807978196,32.2999992370605,-4.5,73.0358146245409,222,30,1594
55030,"MVZ","Lasiurus","cinereus","cinereus","M","Recent","USA","California","Main",16.6,6.56,9.01,5.26,10.15,4.46,4.83,1.82,4.88,12.63,6.81,3.77,2.98,1.84,1.75,4,"USA",37.93558061,-122.3028711,383.31167957745,25.2000007629395,1.89999997615814,93.2437262193448,434,10,164
114537,"MVZ","Lasiurus","cinereus","cinereus","M","Recent","USA","California","Main",17.04,6.67,8.78,5.04,9.99,4.27,4.83,1.85,5.06,13.06,7.03,3.87,3.22,1.77,1.76,4.37,"USA",37.97650292,-122.0049942,513.519490248048,29,0.300000011920929,91.7846024513804,255,6,44
139199,"MVZ","Lasiurus","cinereus","cinereus","F","Recent","USA","California","Main",17.08,6.82,9,5.22,10.48,4.49,5.35,1.88,5.14,13.29,7.17,3.94,3.06,1.85,1.84,3.91,"USA",37.91381773,-122.2659733,382.195368809624,24.7000007629395,1.5,92.4406143839311,421,10,217
139200,"MVZ","Lasiurus","cinereus","cinereus","M","Recent","USA","California","Main",17,6.49,9.09,5.29,10.55,4.25,5.1,1.82,5.24,12.96,7.16,3.99,2.98,1.59,1.78,3.94,"USA",37.91586013,-122.3246394,361.92745021719,25.5,2.79999995231628,94.007306829702,392,8,2
199246,"MVZ","Lasiurus","cinereus","cinereus","M","Recent","USA","California","Main",16.07,6.31,8.73,5.25,10.25,4.28,5.21,1.81,4.81,12.58,6.88,3.79,2.92,1.88,1.86,3.88,"USA",37.95019544,-122.051741,499.640787626629,28.6000003814697,0.699999988079071,91.4681076725056,259,6,15
225665,"MVZ","Lasiurus","cinereus","cinereus","F","Recent","USA","California","Main",17.16,6.7,9.11,5.29,10.15,4.61,5.41,2,4.98,13.69,7.47,3.99,3.28,1.76,1.84,3.89,"USA",38.00029073,-121.8600653,538.847482242489,28.7999992370605,0.5,90.101767550708,206,6,24
58731,"ROM","Lasiurus","cinereus","cinereus","M","Recent","USA","New Mexico","Main",16.37,6.09,8.37,5.51,10.13,4.18,5.05,1.93,4.82,12.17,6.49,3.44,2.81,2.04,1.81,4.12,"USA",32.33769031,-103.4154284,795.15148740002,36.2000007629395,-2.90000009536743,64.6874030342636,158,30,1031
78613,"ROM","Lasiurus","cinereus","cinereus","M","Recent","USA","New Mexico","Main",15.85,6.11,8.9,5.22,9.98,4.49,5.27,1.87,4.89,12.12,6.64,3.72,2.8,1.79,1.73,3.83,"USA",33.5,-108.9166667,730.000392873649,32.7999992370605,-8,60.0272981228215,191,38,1667
78614,"ROM","Lasiurus","cinereus","cinereus","M","Recent","USA","New Mexico","Main",16.05,6.36,8.66,5.53,10.2,4.05,4.87,1.8,4.92,12.8,6.85,3.68,2.84,2.02,1.76,4.02,"USA",33.5,-108.9166667,730.000392873649,32.7999992370605,-8,60.0272981228215,191,38,1667
78615,"ROM","Lasiurus","cinereus","cinereus","M","Recent","USA","New Mexico","Main",15.94,5.88,8.15,5.07,10.2,4.1,4.88,1.85,4.78,12.4,6.7,3.56,2.85,2.03,1.91,4.13,"USA",33.5,-108.9166667,730.000392873649,32.7999992370605,-8,60.0272981228215,191,38,1667
78616,"ROM","Lasiurus","cinereus","cinereus","M","Recent","USA","New Mexico","Main",16.76,6.22,8.78,5.36,10.04,4.27,4.95,1.79,4.92,12.67,6.79,3.72,3.03,2,1.84,4.12,"USA",31.36666667,-109.0333333,684.124608648617,33.7999992370605,-2.40000009536743,76.9536334236131,196,26,1376
80311,"MVZ","Lasiurus","cinereus","cinereus","F","Recent","USA","Texas","Main",17.04,6.96,9.4,4.93,10.64,4.87,5.31,1.86,4.94,13.3,7.05,4.31,3.11,1.7,1.87,4.57,"USA",29.22704666,-103.2585862,587.038509914204,31.6000003814697,1.70000004768372,69.735189801456,201,34,1435
80312,"MVZ","Lasiurus","cinereus","cinereus","F","Recent","USA","Texas","Main",17.09,6.88,9.22,5.2,10.39,4.36,5.19,1.8,5.25,13.49,7.16,4.13,3.06,1.89,1.85,4.39,"USA",29.22704666,-103.2585862,587.038509914204,31.6000003814697,1.70000004768372,69.735189801456,201,34,1435
93897,"MVZ","Lasiurus","cinereus","cinereus","M","Recent","USA","Utah","Main",16.32,6.04,9.08,5.33,10.13,4.46,5.33,1.7,4.84,12.37,6.69,3.69,2.93,1.55,1.78,3.44,"USA",41.45364401,-111.8561383,878.100572811129,24.5,-14,20.2794332084359,153,88,1941
